"Industry","Freq", "Group"
"Advertising",54, "Business & Consumer Services" 
"Aerospace/Defense",84, "Aerospace/Defense"
"Air Transport",25, "Aerospace/Defense"
"Apparel",59, "Household Products"
"Auto & Truck",25, "Auto & Truck"
"Auto Parts",67, "Auto & Truck"
"Bank",7, "Financial Services"
"Banks (Regional)",625, "Financial Services"
"Beverage ",37, "Food & Beverage"
"Beverage (Alcoholic)",17, "Food & Beverage"
"Biotechnology",300, "Lifesciences"
"Broadcasting",24, "Media & Entertainment"
"Brokerage & Investment Banking",41, "Financial Services"
"Building Materials",32, "Diversified"
"Business & Consumer Services",155, "Business & Consumer Services"
"Cable TV",16, "Media & Entertainment"
"Chemical (Basic)",45, "Chemicals"
"Chemical (Diversified)",9, "Chemicals"
"Chemical (Specialty)",87, "Chemicals"
"Coal & Related Energy",39, "Energy"
"Computer Services",109, "Information Technology"
"Computer Software",236, "Information Technology"
"Computers/Peripherals",60, "Information Technology"
"Construction",18, "Diversified"
"Diversified",18, "Diversified"
"Educational Services",36, "Business & Consumer Services"
"Electrical Equipment",119, "Diversified"
"Electronics",168, "Information Technology"
"Electronics (Consumer & Office)",24, "Information Technology"
"Engineering",48, "Diversified"
"Entertainment",74, "Media & Entertainment"
"Environmental & Waste Services",96, "Business & Consumer Services"
"Farming/Agriculture",25, "Food & Beverage"
"Financial Svcs.",69, "Financial Services"
"Financial Svcs. (Non-bank & Insurance)",11, "Financial Services"
"Food Processing",84, "Food & Beverage"
"Food Wholesalers",15, "Food & Beverage"
"Furn/Home Furnishings",34, "Household Products"
"Healthcare Equipment",166, "Healthcare"
"Healthcare Facilities",36, "Healthcare"
"Healthcare Products",48, "Healthcare"
"Healthcare Services",114, "Healthcare"
"Heathcare Information and Technology",110, "Healthcare"
"Heavy Construction",42, "Diversified"
"Homebuilding",29, "Real Estate"
"Hotel/Gaming",80, "Real Estate"
"Household Products",117, "Household Products"
"Information Services",66, "Information Technology"
"Insurance (General)",25, "Financial Services"
"Insurance (Life)",22, "Financial Services"
"Insurance (Prop/Cas.)",49, "Financial Services"
"Internet software and services",287, "Information Technology"
"Investment Co.",55, "Financial Services"
"Machinery",124, "Diversified"
"Metals & Mining",118, "Diversified"
"Office Equipment & Services",25, "Business & Consumer Services" 
"Oil/Gas (Integrated)",6, "Energy"
"Oil/Gas (Production and Exploration)",351, "Energy"
"Oil/Gas Distribution",71, "Energy"
"Oilfield Svcs/Equip.",150, "Energy"
"Packaging & Container",22, "Diversified"
"Paper/Forest Products",16, "Diversified"
"Pharma & Drugs",117, "Lifesciences"
"Power",97, "Energy"
"Precious Metals",147, "Diversified"
"Publshing & Newspapers",48, "Media & Entertainment"
"R.E.I.T.",39, "Real Estate"
"Railroad",9, "Transportation"
"Real Estate (Development)",19, "Real Estate"
"Real Estate (General/Diversified)",10, "Real Estate"
"Real Estate (Operations & Services)",42, "Real Estate"
"Recreation",62, "Real Estate"
"Reinsurance",2, "Financial Services"
"Restaurant",66, "Retail"
"Retail (Automotive)",24, "Retail"
"Retail (Building Supply)",6, "Retail"
"Retail (Distributors)",81, "Retail"
"Retail (General)",19, "Retail"
"Retail (Grocery and Food)",17, "Retail"
"Retail (Internet)",41, "Retail"
"Retail (Special Lines)",116, "Retail"
"Rubber& Tires",4, "Diversified"
"Semiconductor",94, "Semiconductor"
"Semiconductor Equip",49, "Semiconductor"
"Shipbuilding & Marine",13, "Transportation"
"Shoe",13, "Household Products"
"Steel",31, "Diversified"
"Telecom (Wireless)",24, "Telecom"
"Telecom. Equipment",107, "Telecom"
"Telecom. Services",64, "Telecom"
"Thrift",193, "Retail"
"Tobacco",10, "Food & Beverage"
"Transportation",21, "Transportation"
"Trucking",25, "Transportation"
"Utility (General)",19, "Energy"
"Utility (Water)",16, "Energy"
